Departments,description,message_clean,tokens,tokens_refined
dermatology,"cutaneous strongyloidiasis a strongyloidiasis that involves parasitic infection by the filariform larvae of strongyloides stercoralis, which penetrate the human skin causing urticarial rashes in the buttocks and waist areas.  dermatology ",cutaneous strongyloidiasis a strongyloidiasis that involves parasitic infection by the filariform larvae of strongyloides stercoralis which penetrate the human skin causing urticarial rashes in the buttocks and waist areas  dermatology ,"['cutaneous', 'strongyloidiasis', 'a', 'strongyloidiasis', 'that', 'involves', 'parasitic', 'infection', 'by', 'the', 'filariform', 'larvae', 'of', 'strongyloides', 'stercoralis', 'which', 'penetrate', 'the', 'human', 'skin', 'causing', 'urticarial', 'rashes', 'in', 'the', 'buttocks', 'and', 'waist', 'areas', 'dermatology']","['cutaneous', 'strongyloidiasis', 'strongyloidiasis', 'involves', 'parasitic', 'infection', 'filariform', 'larvae', 'strongyloides', 'stercoralis', 'penetrate', 'human', 'skin', 'causing', 'urticarial', 'rashes', 'buttocks', 'waist', 'areas', 'dermatology']"
gastroenterologist,"intestinal strongyloidiasis a strongyloidiasis that involves infection of intestine with strongyloides stercoralis, which results in abdominal pain, diarrhea, ileus, massive gastrointestinal bleeding, severe malabsorption, and peritonitis.  gastroenterologist ",intestinal strongyloidiasis a strongyloidiasis that involves infection of intestine with strongyloides stercoralis which results in abdominal pain diarrhea ileus massive gastrointestinal bleeding severe malabsorption and peritonitis  gastroenterologist ,"['intestinal', 'strongyloidiasis', 'a', 'strongyloidiasis', 'that', 'involves', 'infection', 'of', 'intestine', 'with', 'strongyloides', 'stercoralis', 'which', 'results', 'in', 'abdominal', 'pain', 'diarrhea', 'ileus', 'massive', 'gastrointestinal', 'bleeding', 'severe', 'malabsorption', 'and', 'peritonitis', 'gastroenterologist']","['intestinal', 'strongyloidiasis', 'strongyloidiasis', 'involves', 'infection', 'intestine', 'strongyloides', 'stercoralis', 'results', 'abdominal', 'pain', 'diarrhea', 'ileus', 'massive', 'gastrointestinal', 'bleeding', 'severe', 'malabsorption', 'peritonitis', 'gastroenterologist']"
dermatology,"mansonella perstans infectious disease a mansonelliasis that involves parasitic infection by the nematode mansonella perstans, which resides in body cavities and the surrounding tissues causing angioedema, pruritus, fever, headaches, arthralgias, and neurologic manifestations. midges transmit the disease.  dermatology",mansonella perstans infectious disease a mansonelliasis that involves parasitic infection by the nematode mansonella perstans which resides in body cavities and the surrounding tissues causing angioedema pruritus fever headaches arthralgias and neurologic manifestations midges transmit the disease  dermatology,"['mansonella', 'perstans', 'infectious', 'disease', 'a', 'mansonelliasis', 'that', 'involves', 'parasitic', 'infection', 'by', 'the', 'nematode', 'mansonella', 'perstans', 'which', 'resides', 'in', 'body', 'cavities', 'and', 'the', 'surrounding', 'tissues', 'causing', 'angioedema', 'pruritus', 'fever', 'headaches', 'arthralgias', 'and', 'neurologic', 'manifestations', 'midges', 'transmit', 'the', 'disease', 'dermatology']","['mansonella', 'perstans', 'infectious', 'disease', 'mansonelliasis', 'involves', 'parasitic', 'infection', 'nematode', 'mansonella', 'perstans', 'resides', 'body', 'cavities', 'surrounding', 'tissues', 'causing', 'angioedema', 'pruritus', 'fever', 'headaches', 'arthralgias', 'neurologic', 'manifestations', 'midges', 'transmit', 'disease', 'dermatology']"
dermatology,"mansonella streptocerca infectious disease a mansonelliasis that involves parasitic infection by the nematode mansonella streptocerca, which resides in the dermis and subcutaneous tissue causing pruritus, papular eruptions and pigmentation changes. midges transmit the disease. zoonotic infectious disease  dermatology ",mansonella streptocerca infectious disease a mansonelliasis that involves parasitic infection by the nematode mansonella streptocerca which resides in the dermis and subcutaneous tissue causing pruritus papular eruptions and pigmentation changes midges transmit the disease zoonotic infectious disease  dermatology ,"['mansonella', 'streptocerca', 'infectious', 'disease', 'a', 'mansonelliasis', 'that', 'involves', 'parasitic', 'infection', 'by', 'the', 'nematode', 'mansonella', 'streptocerca', 'which', 'resides', 'in', 'the', 'dermis', 'and', 'subcutaneous', 'tissue', 'causing', 'pruritus', 'papular', 'eruptions', 'and', 'pigmentation', 'changes', 'midges', 'transmit', 'the', 'disease', 'zoonotic', 'infectious', 'disease', 'dermatology']","['mansonella', 'streptocerca', 'infectious', 'disease', 'mansonelliasis', 'involves', 'parasitic', 'infection', 'nematode', 'mansonella', 'streptocerca', 'resides', 'dermis', 'subcutaneous', 'tissue', 'causing', 'pruritus', 'papular', 'eruptions', 'pigmentation', 'changes', 'midges', 'transmit', 'disease', 'zoonotic', 'infectious', 'disease', 'dermatology']"
general medicine virology ,"chikungunya a viral infectious disease that results in infection located in joint, has material basis in chikungunya virus, which is transmitted by aedes mosquito bite. the infection has symptom fever, has symptom arthralgia, and has symptom maculopapular rash. zoonotic infectious disease chikungunya fever viral infectious disease  general medicine (virology)",chikungunya a viral infectious disease that results in infection located in joint has material basis in chikungunya virus which is transmitted by aedes mosquito bite the infection has symptom fever has symptom arthralgia and has symptom maculopapular rash zoonotic infectious disease chikungunya fever viral infectious disease  general medicine virology,"['chikungunya', 'a', 'viral', 'infectious', 'disease', 'that', 'results', 'in', 'infection', 'located', 'in', 'joint', 'has', 'material', 'basis', 'in', 'chikungunya', 'virus', 'which', 'is', 'transmitted', 'by', 'aedes', 'mosquito', 'bite', 'the', 'infection', 'has', 'symptom', 'fever', 'has', 'symptom', 'arthralgia', 'and', 'has', 'symptom', 'maculopapular', 'rash', 'zoonotic', 'infectious', 'disease', 'chikungunya', 'fever', 'viral', 'infectious', 'disease', 'general', 'medicine', 'virology']","['chikungunya', 'viral', 'infectious', 'disease', 'results', 'infection', 'located', 'joint', 'material', 'basis', 'chikungunya', 'virus', 'transmitted', 'aedes', 'mosquito', 'bite', 'infection', 'symptom', 'fever', 'symptom', 'arthralgia', 'symptom', 'maculopapular', 'rash', 'zoonotic', 'infectious', 'disease', 'chikungunya', 'fever', 'viral', 'infectious', 'disease', 'general', 'medicine', 'virology']"
endocrinology,carbohydrate metabolism disease an acquired metabolic disease that is characterized by abnormal carbohydrate metabolism. do flybase slim do mgi slim acquired metabolic disease  endocrinology,carbohydrate metabolism disease an acquired metabolic disease that is characterized by abnormal carbohydrate metabolism do flybase slim do mgi slim acquired metabolic disease  endocrinology,"['carbohydrate', 'metabolism', 'disease', 'an', 'acquired', 'metabolic', 'disease', 'that', 'is', 'characterized', 'by', 'abnormal', 'carbohydrate', 'metabolism', 'do', 'flybase', 'slim', 'do', 'mgi', 'slim', 'acquired', 'metabolic', 'disease', 'endocrinology']","['carbohydrate', 'metabolism', 'disease', 'acquired', 'metabolic', 'disease', 'characterized', 'abnormal', 'carbohydrate', 'metabolism', 'flybase', 'slim', 'mgi', 'slim', 'acquired', 'metabolic', 'disease', 'endocrinology']"
centre for community research section,"epizootic hemorrhagic disease a viral infectious disease that results in infection in deer, has material basis in epizootic hemorrhagic disease virus, which is transmitted by culicoides biting midges. the infection has symptom hemorrhages in many tissues including the skin, heart, and gastrointestinal tract, and has symptom ulcers of the tongue, dental pad, palate, rumen, and omasum. ehd  centre for community/research section",epizootic hemorrhagic disease a viral infectious disease that results in infection in deer has material basis in epizootic hemorrhagic disease virus which is transmitted by culicoides biting midges the infection has symptom hemorrhages in many tissues including the skin heart and gastrointestinal tract and has symptom ulcers of the tongue dental pad palate rumen and omasum ehd  centre for communityresearch section,"['epizootic', 'hemorrhagic', 'disease', 'a', 'viral', 'infectious', 'disease', 'that', 'results', 'in', 'infection', 'in', 'deer', 'has', 'material', 'basis', 'in', 'epizootic', 'hemorrhagic', 'disease', 'virus', 'which', 'is', 'transmitted', 'by', 'culicoides', 'biting', 'midges', 'the', 'infection', 'has', 'symptom', 'hemorrhages', 'in', 'many', 'tissues', 'including', 'the', 'skin', 'heart', 'and', 'gastrointestinal', 'tract', 'and', 'has', 'symptom', 'ulcers', 'of', 'the', 'tongue', 'dental', 'pad', 'palate', 'rumen', 'and', 'omasum', 'ehd', 'centre', 'for', 'communityresearch', 'section']","['epizootic', 'hemorrhagic', 'disease', 'viral', 'infectious', 'disease', 'results', 'infection', 'deer', 'material', 'basis', 'epizootic', 'hemorrhagic', 'disease', 'virus', 'transmitted', 'culicoides', 'biting', 'midges', 'infection', 'symptom', 'hemorrhages', 'many', 'tissues', 'including', 'skin', 'heart', 'gastrointestinal', 'tract', 'symptom', 'ulcers', 'tongue', 'dental', 'pad', 'palate', 'rumen', 'omasum', 'ehd', 'centre', 'communityresearch', 'section']"
neurology,"rocio virus encephalitis a viral infectious disease that results in inflammation located in brain, has material basis in rocio virus, which is transmitted by psorophora ferox and transmitted by aedes species of mosquitoes. the infection has symptom abdominal distension, has symptom confusion, has symptom motor impairment, has symptom difficulty in walking and maintaining balance, has symptom meningeal irritation, and has symptom cerebellar syndrome.  neurology ",rocio virus encephalitis a viral infectious disease that results in inflammation located in brain has material basis in rocio virus which is transmitted by psorophora ferox and transmitted by aedes species of mosquitoes the infection has symptom abdominal distension has symptom confusion has symptom motor impairment has symptom difficulty in walking and maintaining balance has symptom meningeal irritation and has symptom cerebellar syndrome  neurology ,"['rocio', 'virus', 'encephalitis', 'a', 'viral', 'infectious', 'disease', 'that', 'results', 'in', 'inflammation', 'located', 'in', 'brain', 'has', 'material', 'basis', 'in', 'rocio', 'virus', 'which', 'is', 'transmitted', 'by', 'psorophora', 'ferox', 'and', 'transmitted', 'by', 'aedes', 'species', 'of', 'mosquitoes', 'the', 'infection', 'has', 'symptom', 'abdominal', 'distension', 'has', 'symptom', 'confusion', 'has', 'symptom', 'motor', 'impairment', 'has', 'symptom', 'difficulty', 'in', 'walking', 'and', 'maintaining', 'balance', 'has', 'symptom', 'meningeal', 'irritation', 'and', 'has', 'symptom', 'cerebellar', 'syndrome', 'neurology']","['rocio', 'virus', 'encephalitis', 'viral', 'infectious', 'disease', 'results', 'inflammation', 'located', 'brain', 'material', 'basis', 'rocio', 'virus', 'transmitted', 'psorophora', 'ferox', 'transmitted', 'aedes', 'species', 'mosquitoes', 'infection', 'symptom', 'abdominal', 'distension', 'symptom', 'confusion', 'symptom', 'motor', 'impairment', 'symptom', 'difficulty', 'walking', 'maintaining', 'balance', 'symptom', 'meningeal', 'irritation', 'symptom', 'cerebellar', 'syndrome', 'neurology']"
centre for community research section microbiology,ehrlichia ewingii ehrlichiosis gram negative bacterial infectious disease tick borne infectious disease zoonotic infectious disease  centre for community/research section/microbiology,ehrlichia ewingii ehrlichiosis gram negative bacterial infectious disease tick borne infectious disease zoonotic infectious disease  centre for communityresearch sectionmicrobiology,"['ehrlichia', 'ewingii', 'ehrlichiosis', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'tick', 'borne', 'infectious', 'disease', 'zoonotic', 'infectious', 'disease', 'centre', 'for', 'communityresearch', 'sectionmicrobiology']","['ehrlichia', 'ewingii', 'ehrlichiosis', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'tick', 'borne', 'infectious', 'disease', 'zoonotic', 'infectious', 'disease', 'centre', 'communityresearch', 'sectionmicrobiology']"
general medicine,"human granulocytic anaplasmosis   an ehrlichiosis that results in infection located in granular leukocyte, has material basis in anaplasma phagocytophilum, which is transmitted by lone start tick (amblyomma americanum ). the infection has symptom headache, has symptom muscle aches, has symptom fatigue, has symptom fever and has symptom rash. gram negative bacterial infectious disease tick borne infectious disease hge human granulocytic ehrlichiosis ehrlichiosis  general medicine",human granulocytic anaplasmosis   an ehrlichiosis that results in infection located in granular leukocyte has material basis in anaplasma phagocytophilum which is transmitted by lone start tick amblyomma americanum  the infection has symptom headache has symptom muscle aches has symptom fatigue has symptom fever and has symptom rash gram negative bacterial infectious disease tick borne infectious disease hge human granulocytic ehrlichiosis ehrlichiosis  general medicine,"['human', 'granulocytic', 'anaplasmosis', 'an', 'ehrlichiosis', 'that', 'results', 'in', 'infection', 'located', 'in', 'granular', 'leukocyte', 'has', 'material', 'basis', 'in', 'anaplasma', 'phagocytophilum', 'which', 'is', 'transmitted', 'by', 'lone', 'start', 'tick', 'amblyomma', 'americanum', 'the', 'infection', 'has', 'symptom', 'headache', 'has', 'symptom', 'muscle', 'aches', 'has', 'symptom', 'fatigue', 'has', 'symptom', 'fever', 'and', 'has', 'symptom', 'rash', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'tick', 'borne', 'infectious', 'disease', 'hge', 'human', 'granulocytic', 'ehrlichiosis', 'ehrlichiosis', 'general', 'medicine']","['human', 'granulocytic', 'anaplasmosis', 'ehrlichiosis', 'results', 'infection', 'located', 'granular', 'leukocyte', 'material', 'basis', 'anaplasma', 'phagocytophilum', 'transmitted', 'lone', 'start', 'tick', 'amblyomma', 'americanum', 'infection', 'symptom', 'headache', 'symptom', 'muscle', 'aches', 'symptom', 'fatigue', 'symptom', 'fever', 'symptom', 'rash', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'tick', 'borne', 'infectious', 'disease', 'hge', 'human', 'granulocytic', 'ehrlichiosis', 'ehrlichiosis', 'general', 'medicine']"
endocraniology,mineral metabolism disease an acquired metabolic disease that is characterized by abnormal mineral metabolism. acquired metabolic disease  endocraniology,mineral metabolism disease an acquired metabolic disease that is characterized by abnormal mineral metabolism acquired metabolic disease  endocraniology,"['mineral', 'metabolism', 'disease', 'an', 'acquired', 'metabolic', 'disease', 'that', 'is', 'characterized', 'by', 'abnormal', 'mineral', 'metabolism', 'acquired', 'metabolic', 'disease', 'endocraniology']","['mineral', 'metabolism', 'disease', 'acquired', 'metabolic', 'disease', 'characterized', 'abnormal', 'mineral', 'metabolism', 'acquired', 'metabolic', 'disease', 'endocraniology']"
general medicines,"african tick bite fever   a spotted fever that has material basis in rickettsia africae, which is transmitted by ticks (amblyomma hebraeum and amblyomma variegatum). the infection has symptom fever, has symptom eschar and has symptom maculopapular rash. gram negative bacterial infectious disease tick borne infectious disease zoonotic infectious disease rickettsia africae spotted fever south african tick bite fever spotted fever  general medicines  ",african tick bite fever   a spotted fever that has material basis in rickettsia africae which is transmitted by ticks amblyomma hebraeum and amblyomma variegatum the infection has symptom fever has symptom eschar and has symptom maculopapular rash gram negative bacterial infectious disease tick borne infectious disease zoonotic infectious disease rickettsia africae spotted fever south african tick bite fever spotted fever  general medicines  ,"['african', 'tick', 'bite', 'fever', 'a', 'spotted', 'fever', 'that', 'has', 'material', 'basis', 'in', 'rickettsia', 'africae', 'which', 'is', 'transmitted', 'by', 'ticks', 'amblyomma', 'hebraeum', 'and', 'amblyomma', 'variegatum', 'the', 'infection', 'has', 'symptom', 'fever', 'has', 'symptom', 'eschar', 'and', 'has', 'symptom', 'maculopapular', 'rash', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'tick', 'borne', 'infectious', 'disease', 'zoonotic', 'infectious', 'disease', 'rickettsia', 'africae', 'spotted', 'fever', 'south', 'african', 'tick', 'bite', 'fever', 'spotted', 'fever', 'general', 'medicines']","['african', 'tick', 'bite', 'fever', 'spotted', 'fever', 'material', 'basis', 'rickettsia', 'africae', 'transmitted', 'ticks', 'amblyomma', 'hebraeum', 'amblyomma', 'variegatum', 'infection', 'symptom', 'fever', 'symptom', 'eschar', 'symptom', 'maculopapular', 'rash', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'tick', 'borne', 'infectious', 'disease', 'zoonotic', 'infectious', 'disease', 'rickettsia', 'africae', 'spotted', 'fever', 'south', 'african', 'tick', 'bite', 'fever', 'spotted', 'fever', 'general', 'medicines']"
general medicinesmicrobiology,"astrakhan spotted fever a spotted fever that has material basis in rickettsia conorii subsp caspia, which is transmitted by ticks (rhipicephalus pumilio and rhipicephalus sanguineus). the infection has symptom fever, has symptom eschar (usually single), has symptom regional adenopathy, has symptom maculopapular rash on extremities. gram negative bacterial infectious disease tick borne infectious disease zoonotic infectious disease spotted fever  general medicines/microbiology",astrakhan spotted fever a spotted fever that has material basis in rickettsia conorii subsp caspia which is transmitted by ticks rhipicephalus pumilio and rhipicephalus sanguineus the infection has symptom fever has symptom eschar usually single has symptom regional adenopathy has symptom maculopapular rash on extremities gram negative bacterial infectious disease tick borne infectious disease zoonotic infectious disease spotted fever  general medicinesmicrobiology,"['astrakhan', 'spotted', 'fever', 'a', 'spotted', 'fever', 'that', 'has', 'material', 'basis', 'in', 'rickettsia', 'conorii', 'subsp', 'caspia', 'which', 'is', 'transmitted', 'by', 'ticks', 'rhipicephalus', 'pumilio', 'and', 'rhipicephalus', 'sanguineus', 'the', 'infection', 'has', 'symptom', 'fever', 'has', 'symptom', 'eschar', 'usually', 'single', 'has', 'symptom', 'regional', 'adenopathy', 'has', 'symptom', 'maculopapular', 'rash', 'on', 'extremities', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'tick', 'borne', 'infectious', 'disease', 'zoonotic', 'infectious', 'disease', 'spotted', 'fever', 'general', 'medicinesmicrobiology']","['astrakhan', 'spotted', 'fever', 'spotted', 'fever', 'material', 'basis', 'rickettsia', 'conorii', 'subsp', 'caspia', 'transmitted', 'ticks', 'rhipicephalus', 'pumilio', 'rhipicephalus', 'sanguineus', 'infection', 'symptom', 'fever', 'symptom', 'eschar', 'usually', 'single', 'symptom', 'regional', 'adenopathy', 'symptom', 'maculopapular', 'rash', 'extremities', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'tick', 'borne', 'infectious', 'disease', 'zoonotic', 'infectious', 'disease', 'spotted', 'fever', 'general', 'medicinesmicrobiology']"
general medicines centre for community research section microbiology,"indian tick typhus a spotted fever that has material basis in rickettsia conorii subsp indica, which is transmitted by ticks (rhipicephalus sanguineus). the infection has symptom fever, has symptom eschar, has symptom regional adenopathy, and has symptom maculopapular rash on extremities. gram negative bacterial infectious disease tick borne infectious disease zoonotic infectious disease spotted fever  general medicines/centre for community/research section/microbiology",indian tick typhus a spotted fever that has material basis in rickettsia conorii subsp indica which is transmitted by ticks rhipicephalus sanguineus the infection has symptom fever has symptom eschar has symptom regional adenopathy and has symptom maculopapular rash on extremities gram negative bacterial infectious disease tick borne infectious disease zoonotic infectious disease spotted fever  general medicinescentre for communityresearch sectionmicrobiology,"['indian', 'tick', 'typhus', 'a', 'spotted', 'fever', 'that', 'has', 'material', 'basis', 'in', 'rickettsia', 'conorii', 'subsp', 'indica', 'which', 'is', 'transmitted', 'by', 'ticks', 'rhipicephalus', 'sanguineus', 'the', 'infection', 'has', 'symptom', 'fever', 'has', 'symptom', 'eschar', 'has', 'symptom', 'regional', 'adenopathy', 'and', 'has', 'symptom', 'maculopapular', 'rash', 'on', 'extremities', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'tick', 'borne', 'infectious', 'disease', 'zoonotic', 'infectious', 'disease', 'spotted', 'fever', 'general', 'medicinescentre', 'for', 'communityresearch', 'sectionmicrobiology']","['indian', 'tick', 'typhus', 'spotted', 'fever', 'material', 'basis', 'rickettsia', 'conorii', 'subsp', 'indica', 'transmitted', 'ticks', 'rhipicephalus', 'sanguineus', 'infection', 'symptom', 'fever', 'symptom', 'eschar', 'symptom', 'regional', 'adenopathy', 'symptom', 'maculopapular', 'rash', 'extremities', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'tick', 'borne', 'infectious', 'disease', 'zoonotic', 'infectious', 'disease', 'spotted', 'fever', 'general', 'medicinescentre', 'communityresearch', 'sectionmicrobiology']"
centre for community research section,"israeli tick typhus a spotted fever that has material basis in rickettsia conorii subsp israelensis, which is transmitted by ticks (rhipicephalus sanguineus). the infection has symptom fever, has symptom eschar, has symptom regional adenopathy, and has symptom maculopapular rash on extremities. gram negative bacterial infectious disease tick borne infectious disease zoonotic infectious disease israeli spotted fever spotted fever  centre for community/research section",israeli tick typhus a spotted fever that has material basis in rickettsia conorii subsp israelensis which is transmitted by ticks rhipicephalus sanguineus the infection has symptom fever has symptom eschar has symptom regional adenopathy and has symptom maculopapular rash on extremities gram negative bacterial infectious disease tick borne infectious disease zoonotic infectious disease israeli spotted fever spotted fever  centre for communityresearch section,"['israeli', 'tick', 'typhus', 'a', 'spotted', 'fever', 'that', 'has', 'material', 'basis', 'in', 'rickettsia', 'conorii', 'subsp', 'israelensis', 'which', 'is', 'transmitted', 'by', 'ticks', 'rhipicephalus', 'sanguineus', 'the', 'infection', 'has', 'symptom', 'fever', 'has', 'symptom', 'eschar', 'has', 'symptom', 'regional', 'adenopathy', 'and', 'has', 'symptom', 'maculopapular', 'rash', 'on', 'extremities', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'tick', 'borne', 'infectious', 'disease', 'zoonotic', 'infectious', 'disease', 'israeli', 'spotted', 'fever', 'spotted', 'fever', 'centre', 'for', 'communityresearch', 'section']","['israeli', 'tick', 'typhus', 'spotted', 'fever', 'material', 'basis', 'rickettsia', 'conorii', 'subsp', 'israelensis', 'transmitted', 'ticks', 'rhipicephalus', 'sanguineus', 'infection', 'symptom', 'fever', 'symptom', 'eschar', 'symptom', 'regional', 'adenopathy', 'symptom', 'maculopapular', 'rash', 'extremities', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'tick', 'borne', 'infectious', 'disease', 'zoonotic', 'infectious', 'disease', 'israeli', 'spotted', 'fever', 'spotted', 'fever', 'centre', 'communityresearch', 'section']"
centre for community research section,"far eastern spotted fever a spotted fever that has material basis in rickettsia heilongjiangensis, which is transmitted by ticks (haemaphysalis concinna). the infection has symptom fever, has symptom eschar, has symptom maculopapular rash, and has symptom regional adenopathy. gram negative bacterial infectious disease tick borne infectious disease zoonotic infectious disease rickettsia heilongjiang ensis spotted fever spotted fever  centre for community/research section",far eastern spotted fever a spotted fever that has material basis in rickettsia heilongjiangensis which is transmitted by ticks haemaphysalis concinna the infection has symptom fever has symptom eschar has symptom maculopapular rash and has symptom regional adenopathy gram negative bacterial infectious disease tick borne infectious disease zoonotic infectious disease rickettsia heilongjiang ensis spotted fever spotted fever  centre for communityresearch section,"['far', 'eastern', 'spotted', 'fever', 'a', 'spotted', 'fever', 'that', 'has', 'material', 'basis', 'in', 'rickettsia', 'heilongjiangensis', 'which', 'is', 'transmitted', 'by', 'ticks', 'haemaphysalis', 'concinna', 'the', 'infection', 'has', 'symptom', 'fever', 'has', 'symptom', 'eschar', 'has', 'symptom', 'maculopapular', 'rash', 'and', 'has', 'symptom', 'regional', 'adenopathy', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'tick', 'borne', 'infectious', 'disease', 'zoonotic', 'infectious', 'disease', 'rickettsia', 'heilongjiang', 'ensis', 'spotted', 'fever', 'spotted', 'fever', 'centre', 'for', 'communityresearch', 'section']","['far', 'eastern', 'spotted', 'fever', 'spotted', 'fever', 'material', 'basis', 'rickettsia', 'heilongjiangensis', 'transmitted', 'ticks', 'haemaphysalis', 'concinna', 'infection', 'symptom', 'fever', 'symptom', 'eschar', 'symptom', 'maculopapular', 'rash', 'symptom', 'regional', 'adenopathy', 'gram', 'negative', 'bacterial', 'infectious', 'disease', 'tick', 'borne', 'infectious', 'disease', 'zoonotic', 'infectious', 'disease', 'rickettsia', 'heilongjiang', 'ensis', 'spotted', 'fever', 'spotted', 'fever', 'centre', 'communityresearch', 'section']"
